,time,src,dst,seq,ack,len,payload,role
52,0.961057,123.57.84.206,192.168.65.66,1912,97,100,"b'\x08D9\xb4""P=\xc6\x8b\xc8-\xa9c\x8e\x98\xadzdp\xc6\x86\x0c\xaf\xf5\xb2\x1ff\x07K\xef\xcd\xa3E\xda#\x9dO\x95\x8c\xdf\xa2\xc7Q\xce\xe6\xf2s(>\xe7\xfe\x8d\xe02\'\xe0\x13\xe7h0\x91h\x06\x0f\xa6\x00s\x96\x15*\xb6\xf2.""\xdbk_\x98z\x8f\xf4\xa4\xa3N\xd0S/c\xa4j\x0c7*\xf5\x92\x10\xb1%\xa6/'",0
53,0.961101,192.168.65.66,123.57.84.206,125,2012,0,,1
54,0.986726,192.168.65.66,123.57.84.206,125,2012,28,b'^\xa05V^lfC\xc9\x1e\x81\x06\xd8\xeaf-\x15\xad\x0c}k\xff\x8abJ\xf5\xff\x8e',1
55,1.007948,123.57.84.206,192.168.65.66,2012,125,138,"b'\xd5t\xd2\xfc\xc0P@3\x0f\xf4\xb6\xaa*\xc3\x1e$x\xf1\xd2k\xe5\x04\xfe\x80y\xae\xb4EI8\xbc\xdeR\xe0\x85\xc7\x96\xc9\x94\xb6\x0bB}\xe4\xd8s\xca\xd9\'\xab\xc3$Y""\xa4b\x0e\xde\xe8\xa5\\\r:U\x02\x99\xd51\xda%\xef\xa1\x07\xb5\xfd\xe8\x13q4\x82\xa7m\xd2\xd7\xe7\x8b\xea\xa6\x9c\x97\x07\xcc\x91\xd32\x8d\x0c}\x8bm\x88\xa6\xd99mC\xb3Pa\xac\xfb\xd9B\x9f\xbe\x10\xd0\x9e\xae3^-\xac\xc3T,H\xffa\xe66q\x987\xf8\xa2m\xa5'",0
56,1.041468,192.168.65.66,123.57.84.206,153,2150,28,b'\x1c\xbc\xae?\xde\xc2\xa5s\xd4U2\xf1/\n\xf7Q|\xe9\xc1\rP\xd1\xc5\xc6\xe7\x89\xa4o',1
57,1.058166,123.57.84.206,192.168.65.66,2150,153,77,b'\xf4\x12\x84\xb6\x1b\xd7\xed\xab\xea.*m\xdc\x90\n\xe2vA\xea\xd3\xd3f\xb2\x1d\x8f\xa4\x0f\x89\x98\xb5\x0e\xcd\xd6\xdc\xdebRg\x13\x97TCbm\x95+3\xf8\xd3qS\xb2\xe7\x98\xde\x02\xec\xe3i(I\x0c\xda\x17\xcd\xf4;\t\x14\x9a\x02\xd2\x1d\xb7p\xf8H',0
58,1.09007,192.168.65.66,123.57.84.206,181,2227,28,"b'{Q\xeb\xf4\xc5s\xc8\xd5\x86\x80\\\x07\xfbk>\x7f\x90\x9d\x08T\xa5\xc0\x8c""\xc4\xa2\x10\xbb'",1
59,1.108442,123.57.84.206,192.168.65.66,2227,181,70,"b'\xd6hE]\xd3\xedh\x11\xbc\x9d2\x96\x96\x99!V\xa97\x81VL5%\xc6\xd4\xd4\xb2D0\x98\xd8\x8a\x8a\xf3L75\x9f\xfbY\x81,\xc9\x93\x97\xeb\xe2\xa3\xac\xd7\xbb\xbf_y\xd7\x1a\xa8\x92+1\x8f\xe5_\xe2m\x8a\xec\xda>{'",0
60,1.108503,192.168.65.66,123.57.84.206,209,2297,0,,1
61,1.138368,192.168.65.66,123.57.84.206,209,2297,28,b'\xb6\x87\x8b)\xa3R\xd8\xce\xf0\xe0\xc9l\n\x08h\xe5\xa4\xcb\xfb\xba\xa6!\xce\xdc\x90[\xb72',1
62,1.158289,123.57.84.206,192.168.65.66,2297,209,265,b'r\xca\xee\xe5K\x8e\xa1\x0fMJKjC\xe2\x0f:\x08F\xf38LL\xe5B\xefH\xfd\xb0\x0c\xff\x0fK\xa43\xe1\xef\x1c\xd4\x19=$\xbd\xf8\xa4\xb0\xa6\x93[\xab\x12\xbd\xb2\xec%\xcf\xfc5\xd9\xc1U\x04\xa75\xd8\xf3(\xc8\x83\xee\xeb\xc9\x8f\xe7\no7+\xec\x9d\xc3\x14\x8dMR\xd8\xcc\x7f\x05\xe44\x801\x8cj\x1fs\x9b\x8a\xa1\x91:\t\x92_\xbb\x99\xdb\xb8If\xe6\xc8j\x88\x01\xfd!\x07\x0br\xe8\xd9nu\xa0\xfa\xc5\x11m\xe1\xd9t\xbf+7\xd0\x96\xf1\x93;\xed\x88\xc1\x92(\xa1xj\xb4;\x93\xde\x04\xfd-\xb1-\xb5\x1a\x14\x0b!U\x8a\xef\x97WK`\xa8\xa3\xf5\x9b*\x19\xa0\x9cl1\x8c\xbf\xea\x8aAH\xf1\xa7\xfc\x1a\x91\xa0\xf8U\x8e^\x0fb(\xe9\x12\xb51\xeaS\xd2\x9c\x1b\x0f)\x12/<\xbb.\xae\xe2v\xe0fT\xeef\xd6\x1a\xb8f\x86\xa5G\xfe\xca\xb2\x84\xf3&\x8d\x0b\x9f>\xa70uR\\\xb6\x81\xba\x87\xab*\xee\x82\x87[m\x80\xfaOG\xcb\xcafX\xa2\xcb',0
63,1.186902,192.168.65.66,123.57.84.206,237,2562,28,b'\xf1\x98p\xb0\x8eMv\xcd\xfeq}R+/\x98p\xfdz\xd9J0K\x18Ra\x87\xbf\xb3',1
